Product Name,Unit,Unit Value
Eucalyptus Honey ,1,PS
Himalayan Honey,1,PS
Plantain Flower (vaalai Poo) Thokku,1,PS
Mango Pickle,1,PS
Turkey Berry (sundakkai) Vathal,1,PS
Wheel Vadagam,1,PS
Cumin Seeds(seeragam) Vadagam,1,PS
Kasuri Methi(vendiya Keerai) Vadagam,1,PS
Beetroot Vadagam,1,PS
Green Chilli  (pachai Milagai) Vadagam,1,PS
Carrot Vadagam,1,PS
Gundu More Milagai Vathal,1,PS
Ragi Vadagam,1,PS
Karpooravalli (theen Vaalai),1,KG
Almond,1,PS
Bismi Health Mix,1,PS
California Pidtachios,1,PS
Makhana (thamarai Vidhai),1,PS
Clove (kirambu),1,PS
Tamarind (puli),1,PS
Ajwain (omam),1,PS
Soyachunks (meal Maker) (big),1,PS
Groundnut (naatu Nilakadalai),1,PS
Vada Dhal (paruppu),1,PS
Sago (javarisi),1,PS
Elandhavadai Hot & Sweet,1,PS
Sappan Wood  (pathimugam),1,PS
White Urad Dal (mottu Ulundhu) (rainfall Yield),1,PS
Agar Agar (kadal Paasi),1,PS
Sesame Balls  (ellu Urundai),1,PS
Groundnut Balls (kadalai Urundai),1,PS
Foxtail Millet (thinai) Laddo,1,PS
Green Gram  (pachai Payiru) Laddo,1,PS
Groundnut (kadalai)  Kova,1,PS
Karuppukavuni Laddo,1,PS
Little Millet (saamai) Laddo,1,PS
Green Gram (pacha Payiru) Laddo,1,PS
Bridegroom(mappilaisamba) Brownie,1,PS
Coconut (thengai) Barfi,1,PS
Karuppukavuni Laddo,1,PS
Pearl Millet  (kambu) Laddo,1,PS
Muffins,1,PS
Cumin Seeds (seeragam),1,PS
Groundnut (nilakadalai)  Balls,1,PS
Foxtail Millet (thinai) Laddo,1,PS
Little Millet (saamai ) Laddo,1,PS
Pearl Millet (kambu) Murukku,1,PS
Finger Millet Ribbon (kelvaragu) Pakoda,1,PS
Minicream Bun,1,PS
Foxtail Millet (thinai) Kuzhal Murukku,1,PS
Cumin Seeds  (seeragam),1,PS
Groundnut (nilakadalai)  Kova,1,PS
Millet Bytes Tangy Tomato (kaara Thakkali),1,PS
Pearl Millet (kambu) Laddo,1,PS
Cookies,1,PS
Millet Bytes Almond (badam) Crunch,1,PS
Millet Bytes Coconut (thengai) Crispy,1,PS
Millet Bytes Choco Fills,1,PS
Millet Bytes Vanilla Fills,1,PS
Millet Bytes Strawberry Fills,1,PS
Jujube (elandhai) Seed,1,PS
Jujube Powder (elandhai Podi),1,PS
Elanthavadai Sweet,1,PS
Tiny Palm Jaggery (karupatti) (tiny Bytes),1,PS
Country Sugar,1,PS
Coconut Sugar,1,PS
Acacia (karuvela ) Honey,1,PS
Sunflower (sooriyagandhi) Honey,1,PS
Mustard (kadugu) Honey,1,PS
Himalayan Honey,1,PS
Pure Mustard Honey,1,PS
Pure Sunflower Honey,1,PS
Pure Acacia Honey,1,PS
Trail Pad,1,PS
Samba Kothumai,1,PS
"Mixed Flakes (ragi,foxtail,little)",1,PS
Groundnut  Seed (naatu Nila Kadalai),1,PS
Double Curry Beans  (irettai Avarai),1,PS
Horse Gram (kollu),1,PS
Kottaram Samba,1,KG
Kodo Millet (varagu) Mixer  200 Gm,1,PS
Millet Chikkies (siruthaaniyam),1,PS
Sandalwood Stone  (sandhana Kal),1,PS
Dhoop ( 40 Gm),1,PS
Kungumam,1,PS
Sandal Wood (sandhana Kattai),1,G
Manvilakku (design),1,PS
Mudakatthan Thokku,1,PS
Amla Powder  (nellikai  Podi),1,PS
Coconut  Powder (thengai  Podi),1,PS
Moringa Leaf Powder (murungai Ilai  Podi),1,PS
Sesame Powder  (ellu Podi),1,PS
Curry Leaf Powder (karuveppilai Podi),1,PS
Charcoal Cream,1,PS
Neem & Turmeric (veppan & Manjal) Soap,1,PS
Kasthuri Manjal - Sh,1,PS
Bamboo Tooth Brush ( Buy 2 Get 1),1,PS
Bamboo Tongue Cleaner,1,PS
Onion Shampoo,1,PS
Loofah (peerkangai Naar),1,PS
Hair Oil (ao),1,PS
Wild Turmeric (kasthurimanjal),1,PS
Herbal Shampoo,1,PS
Proso  Millet Flour (pani Varagu Maavu),1,PS
Rose Soap,1,PS
Desi Pearl Flour (naatu Kambu Maavu),1,PS
Red Sandal Soap,1,PS
Sh : Whole Wheat Flour (gothumai Maavu),1,PS
Rice Flour (arisi Maavu),1,PS
Bengal Gram (kadalai Maavu) (unploished),1,PS
Papaya Scrub,1,PS
Sprouted  Pearlmillet  Flour (mulaikattiya Kambu Maavu),1,PS
Vetiver  (herbal)  Soap (f2b) 100 Gm,1,PS
Cucumber Aloevera Gel,1,PS
Karuppu Kavuni Dosai Ready Mix,1,PS
Vanilla Lip Balm,1,PS
Green Gram Flour (paasi Payiru Maavu),1,PS
Rose & Geranium Bath Salt,1,PS
Charcoal Scrub,1,PS
Kuliyal Powder,1,PS
Rosewater  (paneer),1,PS
Coffee & Cocoa Soap,1,PS
Shea Butter Soap,1,PS
Manicure & Pedicure Scrub,1,PS
Almond Scrub,1,PS
Cocoa Lip Balm (herbal),1,PS
Rose And Mulethi Face Pack (herbal),1,PS
Kasturi Manjal (herbal) Soap (f2b) 100 Gm,1,PS
Papaya (herbal) Soap (f2b) 100 Gm,1,PS
Tooth Powder (kovarshini),1,PS
Albizia Amara (green Arappu) Powder,1,PS
Herbal (mooligai) Soap,1,PS
Cucumber & Aloevera Soap,1,PS
Olive Oil,1,PS
Hibiscus Hair Oil,1,PS
Kupaimeni (herbal)   Soap (f2b),1,PS
Orange (herbal)  Soap (f2b) 100 Gm,1,PS
Charcoal  Soap (f2b) 100 Gm,1,PS
Moringa (murungai) Soap,1,PS
Lavender& Basil Bath Salt,1,PS
Walnut Scrub,1,PS
Natural Herbal Oil,1,PS
